X (Twitter) handle,type
ChnConsul_osaka,N/A
ChnConsulateFuk,N/A
ChnConsulateJhb,N/A
ChnConsulateNag,N/A
ChnConsulateNgo,N/A
ChnConsulateNgt,N/A
ChnEmbassy_jp,N/A
CHNembinSudan,N/A
CHNEmbSuriname,N/A
ChnMission,N/A
cidcaofficial,N/A
cinitalia,N/A
cjxwh_hbtv,N/A
closertochina,N/A
CNContentCenter,N/A
CNS1952,Media & News Company
CoChwila,N/A
CocoStudio4,N/A
consulat_de,N/A
ConsulateSan,N/A
ConsulChinaBcn,N/A
ConsulChinaRJ,N/A
cri_hindi,N/A
CRI_Turkish,N/A
criarabic,N/A
CRIbrk,N/A
CriFrancais,N/A
CRIGerman1,Media & News Company
crigreek,N/A
CRIHausaRadio,N/A
CRIjpn,Media & News Company
cripashto,N/A
CRIsinhala,N/A
criurdu,N/A
CSCECNEWS,Commercial & Industrial
Danni_Zhu131,N/A
delkhiintsag,N/A
dier0806,N/A
DingHeng6,N/A
DIOC_MFA_China,N/A
discoverbinhai,N/A
DiscoverGuangxi,N/A
DiscoverJilin,N/A
DiscoverNanjing,N/A
discoverzj,Travel & Transportation
Dongning,N/A
DostiFM98,N/A
dotdotnews111,Media & News Company
Dr_ZhaoQinghua,N/A
dragontv,N/A
DrZhaoYanbo,N/A
DrZhaoyongchen,N/A
dupingCHN,N/A
DXinjiang,N/A
Echinanews,Media & News Company
EconomicMalawi,N/A
EDNewsChina,N/A
EmbaixadaChina,Entertainment & Recreation
EmbajadaChinaEc,N/A
EmbajadaChinaSV,N/A
embajadorcn_uy,N/A
embassy_chinese,N/A
EmbChina_RS,N/A
EmbChinaCuba,N/A
EmbChinaGE,N/A
EmbChinaMex,Community
EmbChinaPa,N/A
EmbChinaVen,N/A
EmbQiMei,N/A
EmbZhangRun,N/A
eugenioT14,N/A
evawcheng,N/A
ExploreGansu,N/A
FangYi85320692,N/A
fayhaaChina,Media Personality
feelchina2021,N/A
flyoverchina,N/A
Frontlinestory,N/A
FuCong17,N/A
FukLyuGuijun,N/A
FullFrameCGTN,N/A
FuzhouCity,N/A
gabriekestabem,N/A
gabrielyin,N/A
GeneralkonsulDu,N/A
GladysGuo,N/A
GlobalTimesBiz,N/A
GlobalTimesLife,N/A
globaltimesnews,Media & News Company
GlobalWatchCGTN,N/A
GoJiangsu,Community
GtOpinion,N/A
GuanchaNewMedia,N/A
Guangming_Daily,Media & News Company
GuanXinTweets,N/A
Guilin__China,Media & News Company
guyanmuchan001,N/A
Gwadar_Pro,Media & News Company
gz1988,N/A
haiwainet,N/A
haiwaiwangUS,Media & News Company
Hakimyu2,N/A
Henan_TV,Media & News Company
HeRulong,N/A
heweiwei_,N/A
Hongchencuxian,N/A
hongfenghuang,N/A
HongtieZhang,N/A
HU_Bin_CHN,N/A
huang_jiyuan,N/A
Huanqiu_com,N/A
huanxinzhao,N/A
hui48298914,N/A
HunanTimes,Media & News Company
HuXijin_GT,N/A
iChangzhou,Entertainment & Recreation
iChongqing_CIMC,N/A
idiscoverchina,N/A
iloveguizhou,N/A
in_embassy,N/A
IN_Studio2020,N/A
InQingdao,Social Media Influencer
InsightNingbo,N/A
ipandacom,N/A
IXiangshan,Media & News Company
izhejiang,N/A
jejuZLG,N/A
JessicaZ1018,Social Media Influencer
JiangJiang43,N/A
JianhuaLi4,Media & News Company
JilinChina,N/A
JingFeng22,N/A
Jingjing_Li,Journalist
jtao98,Journalist
juliojiangwei,N/A
katekuibeijing,N/A
KatieMi17,N/A
kimnaying,Media & News Company
kooricuc,N/A
KunkunkunLiu,N/A
learnchineese,N/A
lena90830,N/A
Leona_BJ,N/A
Li_Baorong,N/A
li_xiaosi,N/A
Li_Yang_China,N/A
libijian2,N/A
Lin_Nan1,N/A
lingzhi_van,N/A
LinHao_BKK,N/A
liuboleo2,N/A
LiuChan14790671,N/A
LiuHongyang4,N/A
liupheonix,N/A
LiuXin_Emily,N/A
LiuXininBeijing,Media Personality
LiuYanCHN,N/A
LiuYutongpost,N/A
LiyingZHU1,N/A
lovejiaxing,N/A
luisxu9,N/A
luowill1978,Media & News Company
LYNNJie3,N/A
machinpl,N/A
MahuiChina,N/A
MAKSIMYQY,N/A
MarthayTao,N/A
martinaglobal,Media Personality
MediaUnlock,N/A
MelodyZ77141898,N/A
MFA_China,N/A
MiaoXiaojuan,Media & News Company
mingalanews,N/A
MingjieReporter,N/A
MissWow66,Science & Technology
MMMKKK56665147,N/A
mmMonicaZhang,N/A
ModernExpressEN,Media & News
MOFCOM_China,N/A
mundo_china,N/A
muyi_dima,Journalist
ooeieiwyy,N/A
oujianhong,N/A
panda_paws,N/A
PandaoramaLink,N/A
PatrickZhengCHN,Social Media Influencer
pd_northamerica,N/A
PDChina,N/A
PDChinaBusiness,N/A
PDChinaHK,N/A
PDChinaLife,N/A
PDChinaSports,N/A
PDChinese,N/A
PDOAUS,N/A
peijin_zhang,N/A
PenicilinPan,N/A
PeoplesDailyapp,Journalist
PhoenixTV_News,Media & News Company
PRC_Amb_Uganda,N/A
PRCAmbNepal,N/A
PRCAmbNL,N/A
prcembassyprg,N/A
PRCSpoxNepal,N/A
promisingzhuang,Travel & Transportation
qianwen_gu,N/A
qingqingparis,N/A
QiushiJournal,N/A
QuanQuan_1231,N/A
RadioEjani,N/A
realGuancha,Media & News Company
RenKeNews,N/A
reporterCHN,N/A
RibiaoChen,International Relations
RitaBai,Media & News Company
Sabrina_Zhao,N/A
salahzhang,N/A
SanyaofChina,N/A
SceneryofChina,N/A
ShaanxiMoments,Travel & Transportation
Shalevetyah,N/A
shanghaidaily,Media & News Company
ShanghaiEye,N/A
Shanhui_Jacky,N/A
ShannonZ666,N/A
shao_zheng,N/A
ShaoxingCity,N/A
shen_shiwei,N/A
shenqihaodianzi,N/A
SichuanDaily,N/A
SixthTone,N/A
SMGKankanews,N/A
Spacewenchang,N/A
SpokespersonCHN,N/A
SpokespersonHZM,N/A
SpoxCHNinUS,N/A
stuartyueh,N/A
suadye,N/A
sun_weide,N/A
SuYuting8,N/A
SuzhouWuzhong,N/A
SWAHILICRI,N/A
SXiaochuan258,N/A
TakungNews,N/A
takungwenwei_hk,N/A
theChinaMosaic,N/A
thelinkoncgtn,N/A
thepapercn,N/A
thepoint_CGTN,N/A
theserenadong,N/A
thisisGBA,N/A
thouse_opinions,N/A
tianranhe,N/A
tianwei,N/A
TibetTodayCN,N/A
TideNewsZJ,N/A
Todayreview_hk,N/A
Tong_Shuo,N/A
TongMediaHK,N/A
UnTeresa,N/A
VicaLi18,N/A
visitchongqing,N/A
VisitSanya,N/A
VisitShandong,N/A
VisitSuzhou,N/A
WANG_XUE_JING,N/A
WangGuanBeijing,N/A
WangJialei4,N/A
WangJianPaco,N/A
wangxh65,N/A
WangXianfeng8,N/A
WanmingYang,N/A
WaveMedia2022,N/A
weiasecas,N/A
WeiHongtian,N/A
WenwenWang1127,N/A
Where_Zhengzhou,N/A
WorldInsight_TW,N/A
WQHChina,N/A
wty510,N/A
WuGang_CX,N/A
wuji_li,N/A
wulei2020,N/A
WuPeng_MFAChina,N/A
WuxiCity,N/A
xgx91,N/A
XHChineNouvelle,N/A
XHJapanese,N/A
XHNews,N/A
XHNorthAmerica,N/A
XHscitech,N/A
XHSports,N/A
XIEYongjun_CHN,N/A
xinhua_africa,N/A
XinhuaChinese,N/A
XinhuaMyanmar,N/A
XinhuanetNews,N/A
xinhuasylvia,N/A
xinhuatravel,N/A
xinjiangchannel,N/A
xinranz98,N/A
XisMoments,N/A
xuejianosaka,N/A
XuLi52940770,N/A
XuZeyu_Philip,N/A
amysaina,N/A
yang_zhiyu1979,N/A
yangliuxh,N/A
yangrui88,N/A
YangZha42341102,N/A
YaoFei9,N/A
yawenxu17,N/A
YayingRUAN,N/A
YDunhai,N/A
yicaichina,N/A
yicaiglobalCN,N/A
YichuSong,N/A
